ἦτορ	the heart	21	0.41	0	0	1	0.23
δῶρον	a gift	21	0.41	1	0.26	7	1.66
λευκός	light	21	0.41	0	0	1	0.23
μέλω	to be an object of care	21	0.41	3	0.79	0	0.23
Ἥφαιστος	Hephaestus	21	0.41	0	0	12	2.84
παρίστημι	to make to stand	21	0.41	2	0.53	3	0.71
φιλότης	friendship	21	0.41	3	0.79	4	0.94
Ἀφροδίτη	Aphrodite	21	0.41	0	0	5	1.18
οὕνεκα	on which account	20	0.39	2	0.53	6	1.42
τίνω	to pay a price	20	0.39	0	0	2	0.47
κέλομαι	to urge on	20	0.39	3	0.79	0	0.47
εἷς	one	20	0.39	2	0.53	0	0.47
δεῦρο	hither	20	0.39	1	0.26	4	0.94
κάμνω	to work	20	0.39	2	0.53	0	0.94
αἰγίοχος	Aegis-bearing	20	0.39	1	0.26	0	0.94
γλαυκῶπις	with gleaming eyes	20	0.39	1	0.26	0	0.94
δύναμαι	to be able	20	0.39	2	0.53	0	0.94
νέος	young	20	0.39	1	0.26	5	1.18
δεσμός	anything for binding	20	0.39	1	0.26	10	2.37
εὐνή	a bed	20	0.39	1	0.26	3	0.71
δαίνυμι	to give a feast	20	0.39	0	0	1	0.23
λανθάνω	to escape notice	20	0.39	1	0.26	2	0.47
ἱππόδαμος	tamer of horses	20	0.39	2	0.53	0	0.47
δῆμος	people; (originally) a country-district	20	0.39	2	0.53	6	1.42
ἀσπίς	a round shield; asp	20	0.39	2	0.53	0	1.42
ἡγεμονεύω	to be or act as ἡγεμών	20	0.39	0	0	2	0.47
κλυτός	heard of: renowned	20	0.39	1	0.26	1	0.23
ὄλεθρος	ruin	20	0.39	3	0.79	1	0.23
ὅμιλος	any assembled crowd	20	0.39	1	0.26	3	0.71
ἔδω	to eat	20	0.39	1	0.26	1	0.23
ἀείδω	to sing	19	0.37	0	0	13	3.08
στρατός	an encamped army	19	0.37	1	0.26	0	3.08
μυθέομαι	to say	19	0.37	2	0.53	3	0.71
προίημι	NoDef	19	0.37	0	0	1	0.23
ἀρχός	a leader	19	0.37	0	0	2	0.47
